name	strand	path
22766db7-d500-422a-9dd2-e122cc49576f	positive	your_fast5_directory/Subject07_read_4895_ch_1650_strand.fast5
2b696374-9fa5-4858-b5d5-56244ea7438d	negative	your_fast5_directory/Subject07_read_7776_ch_1776_strand.fast5
2bbea3cc-8855-4f71-b286-cedaff11713e	negative	your_fast5_directory/Subject07_read_17523_ch_1026_strand.fast5
2be316fd-1305-4717-82b5-0d96c96f7d7a	positive	your_fast5_directory/Subject07_read_11082_ch_1196_strand.fast5
5959d303-7434-4c75-bf00-0cf274813666	positive	your_fast5_directory/Subject07_read_7777_ch_2027_strand.fast5
6055996e-2c51-42f1-8c36-228a2ae1b8a2	positive	your_fast5_directory/Subject07_read_2928_ch_665_strand.fast5
773e6b91-b874-414c-98c4-91806e2baf51	positive	your_fast5_directory/Subject07_read_355_ch_2339_strand.fast5
7a548ff6-ad14-41eb-83fb-45c4df044739	positive	your_fast5_directory/Subject07_read_10737_ch_1431_strand.fast5
984bae1e-76cd-4d22-a6bf-6bb0a75275f1	positive	your_fast5_directory/Subject07_read_2966_ch_325_strand.fast5
a508c985-6975-4079-b9f5-4f28100c3f3f	negative	your_fast5_directory/Subject07_read_8828_ch_914_strand.fast5
c9566b2e-2d29-49a1-bb59-86ff52ab2157	positive	your_fast5_directory/Subject07_read_20267_ch_2384_strand.fast5
e4c03867-6e36-41c5-b703-a6bd7afd3720	positive	your_fast5_directory/Subject07_read_715_ch_1286_strand.fast5
e6bc162b-6c4f-4ff2-aa09-65f473689a38	negative	your_fast5_directory/Subject07_read_20452_ch_2803_strand.fast5
e86809d3-ce27-4a5f-b8fd-7bc4ca6eef5f	positive	your_fast5_directory/Subject07_read_4119_ch_1654_strand.fast5
ea0e56ac-2cc3-4dfc-b4ef-ebbbdd8cbf9f	negative	your_fast5_directory/Subject07_read_10735_ch_1431_strand.fast5
f77b5fc2-4e0c-4a50-8d5e-b8a3e36e2591	positive	your_fast5_directory/Subject07_read_2644_ch_2601_strand.fast5
fb21ef7a-c076-4b88-b238-0143bc99dc5c	negative	your_fast5_directory/Subject07_read_6599_ch_1132_strand.fast5
